S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1523,USA,2018,Man in the Middle,Retail,"$97,620,000","459,039",Nation-state,Weak Passwords,Firewall,68
1524,Germany,2021,Ransomware,IT,"$25,850,000","176,331",Insider,Weak Passwords,Antivirus,25
1525,USA,2018,Ransomware,Healthcare,"$27,370,000","543,437",Unknown,Unpatched Software,Firewall,20
1526,Germany,2022,SQL Injection,Communications,"$29,020,000","859,311",Insider,Zero-day,AI-based Detection,47
1527,USA,2018,DDoS,Retail,"$90,780,000","877,041",Unknown,Unpatched Software,VPN,48
1528,France,2022,Ransomware,Healthcare,"$42,330,000","657,939",Nation-state,Social Engineering,Antivirus,47
1529,Japan,2019,DDoS,Banking,"$81,890,000","920,270",Nation-state,Unpatched Software,Antivirus,20
1530,USA,2015,Ransomware,Healthcare,"$43,810,000","905,935",Unknown,Unpatched Software,VPN,60
1531,Australia,2019,Malware,Communications,"$93,710,000","217,863",Insider,Unpatched Software,VPN,31
1532,UK,2020,Man in the Middle,Government,"$54,290,000","930,468",Insider,Social Engineering,AI-based Detection,35
1533,Japan,2022,Phishing,Healthcare,"$55,720,000","179,545",Unknown,Zero-day,Encryption,15
1534,India,2023,Ransomware,Retail,"$5,570,000","582,097",Insider,Weak Passwords,Antivirus,40
1535,France,2023,SQL Injection,Banking,"$48,100,000","360,752",Unknown,Zero-day,Antivirus,21
1536,India,2020,Phishing,Retail,"$25,790,000","907,128",Insider,Unpatched Software,Antivirus,13
1537,UK,2024,Man in the Middle,Banking,"$14,840,000","817,793",Hacker Group,Social Engineering,VPN,64
1538,China,2024,Malware,Healthcare,"$85,760,000","922,209",Nation-state,Zero-day,Antivirus,27
1539,USA,2019,DDoS,Retail,"$18,760,000","411,707",Insider,Social Engineering,VPN,42
1540,India,2020,Phishing,Healthcare,"$38,190,000","847,958",Insider,Weak Passwords,Firewall,32
1541,India,2015,Man in the Middle,Banking,"$38,100,000","187,807",Nation-state,Unpatched Software,VPN,37
1542,China,2024,SQL Injection,Communications,"$10,180,000","637,350",Unknown,Weak Passwords,Antivirus,52
1543,China,2024,SQL Injection,IT,"$36,270,000","237,068",Hacker Group,Zero-day,Encryption,65
1544,Australia,2022,Ransomware,Government,"$92,070,000","819,812",Nation-state,Unpatched Software,Encryption,63
1545,Brazil,2023,SQL Injection,Healthcare,"$72,900,000","434,510",Hacker Group,Social Engineering,Firewall,72
1546,USA,2019,DDoS,Communications,"$57,520,000","513,601",Nation-state,Unpatched Software,VPN,14
1547,Japan,2015,Malware,Healthcare,"$5,790,000","821,803",Unknown,Social Engineering,Firewall,40
1548,Russia,2020,Man in the Middle,IT,"$14,680,000","12,585",Unknown,Zero-day,Antivirus,30
1549,Russia,2020,Man in the Middle,Communications,"$10,120,000","405,253",Hacker Group,Unpatched Software,Antivirus,52
1550,Japan,2017,DDoS,IT,"$86,890,000","703,035",Unknown,Unpatched Software,Firewall,15
1551,Australia,2022,Phishing,Government,"$9,840,000","580,402",Nation-state,Social Engineering,VPN,70
1552,France,2017,Man in the Middle,Education,"$49,940,000","640,572",Hacker Group,Social Engineering,Firewall,51
1553,Japan,2023,Phishing,Banking,"$75,130,000","85,528",Hacker Group,Social Engineering,VPN,55
1554,UK,2024,Malware,Healthcare,"$33,210,000","79,940",Unknown,Zero-day,Firewall,64
1555,China,2023,SQL Injection,Communications,"$54,410,000","215,401",Hacker Group,Social Engineering,VPN,50
1556,France,2018,Malware,IT,"$59,560,000","450,313",Nation-state,Zero-day,AI-based Detection,26
1557,Australia,2016,Malware,Retail,"$45,710,000","461,668",Nation-state,Unpatched Software,Firewall,10
1558,France,2021,Man in the Middle,Banking,"$4,940,000","71,156",Insider,Social Engineering,Encryption,34
1559,India,2017,Ransomware,Government,"$89,470,000","201,732",Unknown,Zero-day,Antivirus,39
1560,Russia,2018,Man in the Middle,Government,"$45,910,000","322,132",Nation-state,Weak Passwords,Encryption,44
1561,Japan,2021,Phishing,Banking,"$82,850,000","854,309",Insider,Zero-day,Antivirus,16
1562,USA,2016,Phishing,Retail,"$89,850,000","998,085",Insider,Zero-day,VPN,7
1563,France,2018,Malware,IT,"$10,810,000","479,628",Insider,Weak Passwords,VPN,13
1564,Russia,2022,Malware,Healthcare,"$34,320,000","554,162",Insider,Weak Passwords,Encryption,33
1565,USA,2022,Phishing,Government,"$92,540,000","653,402",Hacker Group,Social Engineering,Firewall,5
1566,UK,2016,Man in the Middle,Government,"$62,900,000","119,785",Hacker Group,Unpatched Software,Encryption,14
1567,Germany,2018,DDoS,Banking,"$48,760,000","754,656",Hacker Group,Unpatched Software,VPN,35
1568,USA,2016,Malware,Retail,"$41,110,000","848,855",Unknown,Unpatched Software,VPN,37
1569,China,2021,SQL Injection,Healthcare,"$57,200,000","328,454",Nation-state,Zero-day,VPN,10
1570,Russia,2018,DDoS,Education,"$13,130,000","510,702",Hacker Group,Weak Passwords,Firewall,15
1571,Australia,2015,Man in the Middle,Education,"$20,960,000","248,083",Hacker Group,Social Engineering,Encryption,70
1572,Brazil,2023,DDoS,Government,"$42,750,000","746,425",Unknown,Zero-day,VPN,24
1573,Japan,2018,Ransomware,Education,"$82,890,000","336,607",Unknown,Zero-day,AI-based Detection,17
1574,Brazil,2021,Ransomware,Government,"$21,210,000","570,810",Insider,Social Engineering,Firewall,72
1575,France,2020,Malware,Banking,"$12,250,000","162,930",Insider,Unpatched Software,Firewall,13
1576,Japan,2015,SQL Injection,Education,"$61,870,000","244,406",Nation-state,Social Engineering,VPN,43
1577,Japan,2016,DDoS,Education,"$71,120,000","604,557",Nation-state,Social Engineering,Encryption,20
1578,Germany,2024,Man in the Middle,Education,"$26,580,000","313,397",Hacker Group,Social Engineering,AI-based Detection,36
1579,Australia,2023,Malware,Retail,"$5,240,000","696,902",Nation-state,Unpatched Software,Encryption,21
1580,UK,2024,Phishing,Banking,"$30,390,000","156,576",Hacker Group,Unpatched Software,VPN,72
1581,UK,2020,Phishing,Healthcare,"$66,550,000","843,310",Hacker Group,Zero-day,Antivirus,71
1582,China,2016,DDoS,Communications,"$83,020,000","281,862",Insider,Social Engineering,AI-based Detection,4
1583,India,2024,Ransomware,IT,"$88,230,000","526,308",Insider,Unpatched Software,Antivirus,23
1584,Russia,2018,DDoS,IT,"$5,180,000","826,924",Insider,Social Engineering,VPN,35
1585,China,2024,DDoS,IT,"$13,770,000","928,751",Insider,Social Engineering,Encryption,26
1586,China,2021,Ransomware,Education,"$21,900,000","304,804",Hacker Group,Weak Passwords,AI-based Detection,53
1587,Brazil,2024,Man in the Middle,Education,"$34,420,000","960,625",Nation-state,Weak Passwords,Firewall,48
1588,France,2019,Ransomware,Government,"$57,900,000","264,088",Unknown,Weak Passwords,AI-based Detection,28
1589,Australia,2022,Phishing,Healthcare,"$61,970,000","633,750",Insider,Unpatched Software,Antivirus,45
1590,China,2021,Ransomware,Healthcare,"$56,110,000","255,531",Unknown,Social Engineering,Firewall,17
1591,Australia,2018,Ransomware,Banking,"$50,640,000","874,035",Insider,Unpatched Software,Antivirus,38
1592,USA,2017,DDoS,Healthcare,"$64,990,000","632,431",Insider,Zero-day,VPN,55
1593,Brazil,2018,Ransomware,Education,"$69,040,000","939,146",Nation-state,Zero-day,Firewall,56
1594,India,2022,Man in the Middle,Retail,"$13,820,000","633,855",Hacker Group,Social Engineering,Antivirus,37
1595,Australia,2016,Malware,Government,"$22,480,000","686,176",Nation-state,Zero-day,Firewall,62
1596,China,2022,Malware,Retail,"$11,310,000","561,807",Unknown,Zero-day,Antivirus,17
1597,India,2023,SQL Injection,Government,"$60,530,000","15,768",Unknown,Zero-day,VPN,66
1598,Germany,2019,Malware,Healthcare,"$98,450,000","32,423",Hacker Group,Weak Passwords,Antivirus,45
1599,China,2021,SQL Injection,IT,"$97,060,000","329,378",Nation-state,Weak Passwords,VPN,61
1600,India,2020,Phishing,Healthcare,"$64,700,000","541,451",Hacker Group,Weak Passwords,Encryption,17
1601,China,2020,Man in the Middle,Education,"$1,050,000","255,393",Unknown,Unpatched Software,Encryption,71
1602,Japan,2017,Phishing,Government,"$89,970,000","141,115",Hacker Group,Zero-day,AI-based Detection,9
1603,India,2015,Man in the Middle,Communications,"$48,580,000","358,210",Nation-state,Zero-day,AI-based Detection,11
1604,Japan,2023,Man in the Middle,Education,"$16,420,000","60,322",Insider,Zero-day,VPN,22
1605,China,2019,Ransomware,Government,"$15,420,000","555,153",Unknown,Zero-day,Encryption,11
1606,India,2018,SQL Injection,Healthcare,"$47,150,000","98,266",Insider,Social Engineering,Firewall,18
1607,Russia,2019,Man in the Middle,IT,"$52,800,000","633,511",Insider,Zero-day,VPN,58
1608,UK,2015,Man in the Middle,Banking,"$64,880,000","976,213",Unknown,Social Engineering,Firewall,28
1609,Brazil,2016,DDoS,Communications,"$94,100,000","838,739",Unknown,Social Engineering,VPN,21
1610,China,2023,Ransomware,IT,"$23,180,000","367,503",Nation-state,Weak Passwords,Encryption,17
1611,China,2018,Ransomware,Education,"$17,440,000","598,614",Insider,Social Engineering,VPN,59
1612,France,2022,Phishing,Retail,"$22,720,000","629,571",Hacker Group,Unpatched Software,VPN,41
1613,Japan,2021,Man in the Middle,Education,"$69,990,000","834,355",Nation-state,Unpatched Software,AI-based Detection,71
1614,USA,2020,Man in the Middle,IT,"$87,880,000","731,495",Nation-state,Unpatched Software,Antivirus,3
1615,UK,2020,SQL Injection,Retail,"$69,910,000","354,637",Insider,Social Engineering,VPN,63
1616,USA,2020,Ransomware,Banking,"$27,450,000","60,428",Nation-state,Weak Passwords,Antivirus,27
1617,China,2024,DDoS,Retail,"$13,170,000","95,351",Nation-state,Unpatched Software,Antivirus,11
1618,Brazil,2020,Phishing,Retail,"$50,990,000","826,159",Insider,Weak Passwords,VPN,3
1619,France,2020,SQL Injection,Healthcare,"$66,920,000","234,301",Insider,Zero-day,AI-based Detection,32
1620,UK,2020,Phishing,Healthcare,"$39,470,000","551,014",Nation-state,Social Engineering,Firewall,71
1621,Brazil,2017,SQL Injection,Communications,"$4,350,000","809,757",Nation-state,Social Engineering,VPN,61
1622,UK,2017,Malware,Healthcare,"$24,060,000","612,319",Unknown,Social Engineering,Antivirus,47
1623,UK,2015,Phishing,Communications,"$21,800,000","312,051",Nation-state,Unpatched Software,VPN,41
1624,USA,2018,Phishing,Banking,"$89,740,000","279,786",Insider,Zero-day,VPN,46
1625,Australia,2016,Phishing,Government,"$72,340,000","847,817",Hacker Group,Social Engineering,Firewall,13
1626,Australia,2016,Man in the Middle,Education,"$37,480,000","382,682",Nation-state,Zero-day,Firewall,12
1627,USA,2021,Phishing,IT,"$38,200,000","159,917",Insider,Zero-day,Antivirus,47
1628,France,2023,Man in the Middle,Government,"$85,850,000","841,548",Unknown,Zero-day,Firewall,68
1629,Japan,2017,DDoS,Healthcare,"$5,500,000","751,586",Nation-state,Social Engineering,AI-based Detection,24
1630,Germany,2024,Man in the Middle,Banking,"$53,510,000","680,154",Nation-state,Zero-day,Firewall,2
1631,France,2023,Phishing,Education,"$37,380,000","978,508",Insider,Weak Passwords,Firewall,42
1632,Germany,2020,Man in the Middle,IT,"$84,550,000","392,247",Unknown,Zero-day,Antivirus,7
1633,Russia,2023,SQL Injection,Retail,"$34,870,000","446,911",Unknown,Weak Passwords,Firewall,25
1634,Australia,2023,Ransomware,IT,"$17,260,000","777,799",Insider,Weak Passwords,Firewall,2
1635,Australia,2016,Ransomware,Healthcare,"$82,990,000","799,581",Nation-state,Zero-day,AI-based Detection,50
1636,Germany,2015,Man in the Middle,Retail,"$85,340,000","819,676",Hacker Group,Zero-day,Antivirus,59
1637,Japan,2023,SQL Injection,Communications,"$31,460,000","192,430",Nation-state,Unpatched Software,AI-based Detection,49
1638,UK,2016,DDoS,Communications,"$74,500,000",735,Hacker Group,Unpatched Software,Firewall,69
1639,USA,2023,Ransomware,Healthcare,"$12,790,000","654,947",Insider,Social Engineering,Encryption,23
1640,USA,2018,DDoS,Banking,"$10,010,000","327,826",Hacker Group,Social Engineering,AI-based Detection,35
1641,France,2016,Man in the Middle,Healthcare,"$23,990,000","106,126",Unknown,Weak Passwords,Antivirus,19
1642,Russia,2022,Man in the Middle,IT,"$34,570,000","46,493",Insider,Unpatched Software,Encryption,62
1643,Japan,2021,Man in the Middle,Education,"$15,780,000","733,307",Nation-state,Social Engineering,Firewall,29
1644,France,2015,Malware,Government,"$71,910,000","789,673",Unknown,Weak Passwords,Antivirus,31
1645,China,2017,Ransomware,Education,"$64,930,000","159,061",Insider,Weak Passwords,Firewall,12
1646,China,2020,Phishing,Education,"$6,350,000","80,748",Hacker Group,Zero-day,Encryption,8
1647,UK,2020,Man in the Middle,IT,"$85,850,000","697,536",Unknown,Social Engineering,AI-based Detection,72
1648,Brazil,2019,SQL Injection,Healthcare,"$46,500,000","748,146",Insider,Weak Passwords,AI-based Detection,13
1649,Russia,2020,Man in the Middle,Communications,"$64,390,000","803,579",Unknown,Weak Passwords,VPN,1
1650,France,2021,Phishing,Retail,"$13,470,000","537,683",Insider,Unpatched Software,VPN,41
1651,France,2020,DDoS,Retail,"$40,720,000","743,271",Nation-state,Social Engineering,Firewall,10
1652,Australia,2018,Malware,Communications,"$36,010,000","215,231",Unknown,Zero-day,AI-based Detection,49
1653,UK,2022,Phishing,Banking,"$57,890,000","135,941",Nation-state,Social Engineering,AI-based Detection,7
1654,USA,2017,Phishing,IT,"$7,950,000","362,478",Hacker Group,Zero-day,Encryption,67
1655,Russia,2022,DDoS,Education,"$13,890,000","537,149",Nation-state,Unpatched Software,VPN,54
1656,China,2016,SQL Injection,Retail,"$96,280,000","162,061",Insider,Zero-day,Firewall,32
1657,China,2016,Ransomware,Banking,"$94,630,000","455,702",Hacker Group,Weak Passwords,Antivirus,5
1658,UK,2021,Ransomware,Communications,"$13,260,000","448,367",Nation-state,Social Engineering,AI-based Detection,7
1659,France,2019,Malware,Retail,"$21,920,000","603,904",Nation-state,Unpatched Software,Firewall,38
1660,France,2016,Malware,IT,"$81,810,000","331,741",Hacker Group,Social Engineering,Antivirus,29
1661,Japan,2023,Ransomware,Education,"$58,790,000","983,506",Hacker Group,Social Engineering,AI-based Detection,35
1662,China,2015,Phishing,Retail,"$14,720,000","914,743",Insider,Social Engineering,AI-based Detection,69
1663,Germany,2022,Malware,Banking,"$59,700,000","258,587",Insider,Social Engineering,VPN,7
1664,Brazil,2020,Man in the Middle,Retail,"$16,260,000","527,964",Insider,Zero-day,Firewall,28
1665,Brazil,2015,Phishing,Banking,"$29,610,000","593,384",Unknown,Zero-day,Firewall,65
1666,UK,2023,Malware,IT,"$82,380,000","386,972",Insider,Unpatched Software,AI-based Detection,56
1667,China,2017,DDoS,Healthcare,"$96,490,000","644,339",Insider,Unpatched Software,Antivirus,71
1668,Brazil,2024,DDoS,Healthcare,"$76,390,000","782,425",Insider,Weak Passwords,Encryption,13
1669,Russia,2024,SQL Injection,Banking,"$79,980,000","84,185",Nation-state,Weak Passwords,VPN,2
1670,UK,2022,Malware,Healthcare,"$91,650,000","337,120",Insider,Weak Passwords,Firewall,59
1671,UK,2020,Phishing,Banking,"$3,840,000","241,282",Hacker Group,Social Engineering,Encryption,55
1672,China,2023,DDoS,Healthcare,"$97,150,000","734,819",Unknown,Unpatched Software,AI-based Detection,50
1673,Australia,2024,DDoS,Healthcare,"$77,040,000","8,517",Hacker Group,Weak Passwords,Encryption,4
1674,UK,2018,Man in the Middle,Government,"$91,520,000","865,257",Nation-state,Social Engineering,VPN,19
1675,Germany,2023,SQL Injection,Education,"$37,400,000","662,428",Insider,Weak Passwords,AI-based Detection,4
1676,China,2020,Malware,Healthcare,"$11,890,000","646,567",Insider,Unpatched Software,VPN,15
1677,USA,2019,DDoS,Communications,"$43,290,000","266,748",Unknown,Unpatched Software,Antivirus,30
1678,USA,2022,Ransomware,Retail,"$92,880,000","771,367",Hacker Group,Social Engineering,Firewall,5
1679,USA,2020,DDoS,Banking,"$99,810,000","948,174",Unknown,Social Engineering,AI-based Detection,4
1680,Brazil,2017,DDoS,Healthcare,"$62,740,000","460,264",Unknown,Social Engineering,Firewall,9
1681,USA,2017,DDoS,Government,"$96,890,000","794,147",Unknown,Unpatched Software,Antivirus,4
1682,France,2015,SQL Injection,IT,"$43,860,000","72,222",Unknown,Weak Passwords,Firewall,64
1683,France,2020,DDoS,Communications,"$66,270,000","995,231",Nation-state,Weak Passwords,Firewall,53
1684,Japan,2021,Malware,Retail,"$90,800,000","841,766",Nation-state,Social Engineering,AI-based Detection,16
1685,Russia,2015,Man in the Middle,IT,"$95,040,000","566,542",Unknown,Weak Passwords,Firewall,58
1686,UK,2022,Malware,Healthcare,"$12,670,000","781,284",Hacker Group,Weak Passwords,Firewall,11
1687,UK,2021,Phishing,IT,"$89,590,000","361,270",Nation-state,Weak Passwords,VPN,31
1688,India,2022,Malware,Communications,"$97,030,000","404,834",Hacker Group,Zero-day,VPN,62
1689,China,2023,DDoS,Government,"$53,460,000","374,484",Unknown,Unpatched Software,Antivirus,46
1690,Australia,2020,SQL Injection,IT,"$21,020,000","681,476",Unknown,Weak Passwords,VPN,6
1691,India,2019,SQL Injection,Retail,"$15,390,000","514,826",Hacker Group,Unpatched Software,Firewall,72
1692,Japan,2022,Malware,Education,"$97,320,000","742,866",Nation-state,Social Engineering,Encryption,61
1693,UK,2016,Ransomware,Healthcare,"$61,660,000","639,896",Hacker Group,Social Engineering,VPN,63
1694,Australia,2022,SQL Injection,IT,"$15,290,000","42,346",Hacker Group,Unpatched Software,VPN,33
1695,Japan,2019,Malware,Communications,"$5,880,000","235,399",Unknown,Social Engineering,Antivirus,21
1696,USA,2015,Man in the Middle,Retail,"$24,930,000","448,426",Nation-state,Weak Passwords,VPN,36
1697,France,2020,Ransomware,Retail,"$97,370,000","467,137",Nation-state,Social Engineering,Encryption,14
1698,Japan,2017,SQL Injection,Education,"$11,490,000","364,107",Hacker Group,Social Engineering,AI-based Detection,28
1699,India,2022,Man in the Middle,Government,"$4,050,000","357,898",Hacker Group,Social Engineering,Firewall,27
1700,China,2016,DDoS,Banking,"$76,900,000","605,118",Insider,Social Engineering,Firewall,30
1701,Russia,2022,Man in the Middle,Education,"$96,440,000","106,169",Nation-state,Unpatched Software,Encryption,28
1702,France,2016,Ransomware,Healthcare,"$34,290,000","157,547",Insider,Unpatched Software,AI-based Detection,29
1703,Brazil,2022,SQL Injection,Healthcare,"$56,630,000","242,677",Insider,Social Engineering,Encryption,21
1704,China,2016,SQL Injection,Banking,"$63,670,000","385,872",Insider,Zero-day,Firewall,50
1705,Germany,2018,DDoS,Retail,"$80,850,000","148,209",Insider,Weak Passwords,Antivirus,54
1706,Japan,2022,DDoS,Healthcare,"$9,500,000","387,457",Nation-state,Weak Passwords,VPN,61
1707,Russia,2023,Malware,IT,"$47,220,000","404,004",Nation-state,Social Engineering,Encryption,58
1708,UK,2018,Ransomware,Retail,"$28,980,000","981,029",Nation-state,Weak Passwords,Antivirus,42
1709,France,2017,Malware,Communications,"$96,630,000","389,525",Unknown,Zero-day,Antivirus,32
1710,India,2019,SQL Injection,IT,"$43,970,000","764,974",Nation-state,Weak Passwords,VPN,18
1711,India,2017,Man in the Middle,Healthcare,"$91,400,000","621,971",Nation-state,Weak Passwords,AI-based Detection,49
1712,Brazil,2024,SQL Injection,IT,"$53,710,000","680,584",Insider,Zero-day,AI-based Detection,5
1713,China,2018,SQL Injection,Education,"$15,360,000","907,858",Nation-state,Social Engineering,Encryption,47
1714,Russia,2021,SQL Injection,Banking,"$80,680,000","983,047",Hacker Group,Unpatched Software,Antivirus,19
1715,France,2015,Malware,Government,"$17,300,000","610,049",Hacker Group,Social Engineering,AI-based Detection,37
1716,India,2021,SQL Injection,IT,"$52,160,000","100,105",Unknown,Zero-day,Firewall,56
1717,USA,2023,SQL Injection,Government,"$89,460,000","59,398",Hacker Group,Zero-day,Antivirus,8
1718,USA,2023,Malware,Banking,"$35,910,000","91,974",Hacker Group,Zero-day,AI-based Detection,41
1719,Brazil,2019,Ransomware,Healthcare,"$9,320,000","785,564",Insider,Unpatched Software,Antivirus,70
1720,China,2023,Phishing,Banking,"$15,210,000","597,516",Nation-state,Unpatched Software,Antivirus,15
1721,UK,2019,Ransomware,IT,"$17,980,000","799,372",Hacker Group,Zero-day,AI-based Detection,14
1722,France,2018,SQL Injection,Banking,"$32,840,000","77,096",Unknown,Weak Passwords,VPN,29
1723,Brazil,2023,Man in the Middle,Retail,"$59,180,000","610,786",Nation-state,Social Engineering,AI-based Detection,31
1724,Japan,2021,SQL Injection,Communications,"$28,330,000","667,271",Insider,Weak Passwords,Firewall,22
1725,China,2023,Phishing,Banking,"$33,270,000","133,315",Nation-state,Weak Passwords,AI-based Detection,25
1726,Brazil,2019,SQL Injection,Government,"$24,930,000","381,105",Unknown,Weak Passwords,Encryption,3
1727,UK,2020,Ransomware,Banking,"$98,070,000","795,120",Unknown,Social Engineering,Firewall,42
1728,Russia,2017,SQL Injection,Healthcare,"$67,130,000","198,285",Nation-state,Unpatched Software,Encryption,56
1729,India,2023,DDoS,Government,"$34,460,000","580,270",Unknown,Unpatched Software,Firewall,35
1730,UK,2018,Ransomware,Retail,"$45,670,000","277,410",Hacker Group,Social Engineering,Firewall,42
1731,Australia,2022,Man in the Middle,Government,"$38,290,000","793,946",Nation-state,Weak Passwords,Firewall,12
1732,Australia,2019,Ransomware,Banking,"$15,210,000","126,770",Insider,Weak Passwords,Encryption,67
1733,Australia,2016,Phishing,IT,"$55,180,000","66,776",Unknown,Zero-day,Encryption,29
1734,China,2018,DDoS,Communications,"$83,500,000","434,797",Insider,Social Engineering,Antivirus,21
1735,France,2024,SQL Injection,Retail,"$3,070,000","901,137",Nation-state,Zero-day,Antivirus,10
1736,Australia,2020,Man in the Middle,Banking,"$34,590,000","427,407",Unknown,Unpatched Software,Encryption,47
1737,USA,2021,Phishing,Banking,"$28,750,000","959,107",Unknown,Zero-day,Antivirus,35
1738,Russia,2017,Man in the Middle,IT,"$55,230,000","12,439",Nation-state,Weak Passwords,Firewall,20
1739,Germany,2021,Man in the Middle,Banking,"$14,450,000","292,854",Nation-state,Unpatched Software,AI-based Detection,14
1740,USA,2023,Malware,Banking,"$66,060,000","189,116",Insider,Social Engineering,AI-based Detection,53
1741,USA,2017,Phishing,Communications,"$19,600,000","889,404",Unknown,Weak Passwords,Firewall,60
1742,USA,2017,Man in the Middle,Retail,"$58,980,000","566,242",Nation-state,Social Engineering,VPN,63
1743,Brazil,2015,SQL Injection,IT,"$86,670,000","694,491",Unknown,Unpatched Software,Firewall,65
1744,Australia,2015,DDoS,Education,"$51,540,000","297,721",Nation-state,Weak Passwords,Antivirus,29
1745,China,2024,SQL Injection,Education,"$13,610,000","394,335",Unknown,Zero-day,Encryption,43
1746,Japan,2016,Man in the Middle,IT,"$57,140,000","590,262",Insider,Unpatched Software,Antivirus,15
1747,Germany,2015,DDoS,IT,"$91,790,000","846,200",Unknown,Social Engineering,AI-based Detection,26
1748,Japan,2017,Phishing,Communications,"$89,850,000","44,385",Hacker Group,Weak Passwords,AI-based Detection,18
1749,UK,2021,Phishing,Banking,"$44,700,000","408,446",Insider,Social Engineering,VPN,43
1750,UK,2023,DDoS,Education,"$54,000,000","806,965",Insider,Social Engineering,AI-based Detection,56
1751,Russia,2018,Ransomware,Education,"$79,930,000","587,346",Hacker Group,Social Engineering,Antivirus,39
1752,Japan,2015,Phishing,Education,"$2,430,000","552,342",Unknown,Zero-day,VPN,62
1753,France,2019,DDoS,Education,"$66,650,000","47,104",Insider,Social Engineering,VPN,5
1754,USA,2016,DDoS,Retail,"$13,830,000","586,557",Hacker Group,Social Engineering,AI-based Detection,37
1755,Russia,2017,Malware,Government,"$2,650,000","500,857",Hacker Group,Zero-day,VPN,35
1756,USA,2022,Man in the Middle,Banking,"$65,510,000","977,913",Hacker Group,Weak Passwords,Antivirus,70
1757,France,2021,Malware,Communications,"$68,640,000","894,858",Hacker Group,Social Engineering,Firewall,19
1758,UK,2018,Man in the Middle,IT,"$75,810,000","574,089",Unknown,Unpatched Software,Firewall,32
1759,USA,2015,DDoS,Healthcare,"$62,990,000","232,622",Nation-state,Weak Passwords,Antivirus,33
1760,India,2015,Malware,Retail,"$89,950,000","917,351",Unknown,Zero-day,Encryption,43
1761,Australia,2024,SQL Injection,IT,"$98,310,000","694,333",Insider,Unpatched Software,VPN,48
1762,India,2017,Ransomware,Government,"$38,870,000","968,822",Nation-state,Weak Passwords,Antivirus,25
1763,Brazil,2015,DDoS,Banking,"$18,870,000","976,838",Unknown,Weak Passwords,Firewall,65
1764,Australia,2019,DDoS,Education,"$54,630,000","22,739",Insider,Unpatched Software,Firewall,44
1765,UK,2015,Man in the Middle,Retail,"$7,920,000","657,442",Nation-state,Social Engineering,Firewall,29
1766,Brazil,2018,Phishing,Education,"$57,590,000","257,681",Nation-state,Zero-day,Antivirus,40
1767,Japan,2021,Man in the Middle,Retail,"$9,970,000","536,471",Hacker Group,Weak Passwords,Encryption,72
1768,France,2015,Ransomware,IT,"$84,020,000","824,619",Unknown,Social Engineering,Firewall,21
1769,Russia,2016,SQL Injection,Government,"$77,940,000","538,804",Hacker Group,Weak Passwords,VPN,43
1770,Japan,2023,Phishing,Healthcare,"$49,320,000","463,704",Hacker Group,Weak Passwords,Firewall,14
1771,China,2021,Man in the Middle,Communications,"$66,610,000","596,341",Insider,Weak Passwords,AI-based Detection,9
1772,Brazil,2020,Malware,Retail,"$89,710,000","529,588",Nation-state,Weak Passwords,AI-based Detection,65
1773,Germany,2018,Man in the Middle,Retail,"$43,280,000","22,241",Hacker Group,Zero-day,Firewall,5
1774,Brazil,2020,Phishing,Banking,"$21,650,000","434,936",Hacker Group,Zero-day,Encryption,24
1775,Japan,2019,Malware,IT,"$33,610,000","52,191",Nation-state,Weak Passwords,Antivirus,72
1776,Australia,2015,Malware,Banking,"$8,240,000","242,247",Insider,Social Engineering,Antivirus,29
1777,Brazil,2020,Phishing,Banking,"$34,500,000","372,427",Insider,Weak Passwords,VPN,72
1778,Brazil,2021,Ransomware,Healthcare,"$67,250,000","796,351",Nation-state,Weak Passwords,AI-based Detection,21
1779,Japan,2020,SQL Injection,Communications,"$38,290,000","505,831",Hacker Group,Social Engineering,Encryption,40
1780,Germany,2020,Malware,Government,"$32,590,000","743,344",Insider,Zero-day,VPN,4
1781,China,2017,Phishing,Healthcare,"$70,400,000","651,809",Unknown,Unpatched Software,Firewall,17
1782,Brazil,2023,SQL Injection,Communications,"$31,540,000","839,281",Insider,Weak Passwords,Encryption,25
1783,Brazil,2018,SQL Injection,Retail,"$84,790,000","99,876",Insider,Unpatched Software,Firewall,56
1784,UK,2016,SQL Injection,Communications,"$98,390,000","836,521",Insider,Weak Passwords,Firewall,19
1785,Japan,2022,SQL Injection,Retail,"$43,730,000","392,831",Nation-state,Weak Passwords,AI-based Detection,71
1786,China,2015,Ransomware,Government,"$86,880,000","99,312",Unknown,Zero-day,AI-based Detection,60
1787,Japan,2017,Malware,Education,"$26,240,000","945,147",Insider,Zero-day,AI-based Detection,20
1788,USA,2018,DDoS,IT,"$26,290,000","943,039",Insider,Zero-day,Firewall,28
1789,Brazil,2016,Malware,Retail,"$76,810,000","670,642",Unknown,Unpatched Software,AI-based Detection,10
1790,USA,2016,Malware,Banking,"$36,200,000","194,553",Hacker Group,Social Engineering,AI-based Detection,48
1791,China,2022,Ransomware,Education,"$49,560,000","257,224",Hacker Group,Social Engineering,Firewall,46
1792,India,2019,DDoS,Banking,"$58,960,000","891,815",Unknown,Weak Passwords,Antivirus,19
1793,China,2020,Ransomware,Banking,"$98,050,000","168,617",Hacker Group,Unpatched Software,VPN,16
